"transition","site","Longitude","Latitude","long.scaled","long.center","season","tas"
"1986-1987","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"gs",8.7625
"1986-1987","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"ds",26.375
"1986-1987","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"gs",10.3
"1986-1987","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"ds",28.125
"1986-1987","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"gs",16.15
"1986-1987","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"ds",27.5
"1986-1987","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"gs",14.1625
"1986-1987","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"ds",27.85
"1986-1987","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"gs",13.8
"1986-1987","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"ds",28.275
"1986-1987","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"gs",15.8625
"1986-1987","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"ds",23.95
"1986-1987","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"gs",10.35
"1986-1987","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"ds",25.375
"1986-1987","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"gs",8.6625
"1986-1987","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"ds",25.85
"1986-1987","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"gs",12.8375
"1986-1987","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"ds",25.35
"1986-1987","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"gs",9.7625
"1986-1987","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"ds",27.725
"1986-1987","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"gs",15.325
"1986-1987","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"ds",27.575
"1986-1987","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"gs",11.975
"1986-1987","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"ds",27.7
"1986-1987","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"gs",12.5625
"1986-1987","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"ds",25.55
"1986-1987","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"gs",9.3875
